match_form,headword,list_name,gsl_rank,family_id
a,a,GSL,1,a
ability,ability,GSL,2,ability
able,able,GSL,3,able
about,about,GSL,4,about
above,above,GSL,5,above
abroad,abroad,GSL,6,abroad
absence,absence,GSL,7,absence
absent,absent,GSL,8,absent
absolute,absolute,GSL,9,absolute
accept,accept,GSL,10,accept
accident,accident,GSL,11,accident
accord,accord,GSL,12,accord
account,account,GSL,13,account
accuse,accuse,GSL,14,accuse
accustom,accustom,GSL,15,accustom
ache,ache,GSL,16,ache
across,across,GSL,17,across
act,act,GSL,18,act
action,action,GSL,19,action
active,active,GSL,20,active
actor,actor,GSL,21,actor
actress,actress,GSL,22,actress
actual,actual,GSL,23,actual
add,add,GSL,24,add
address,address,GSL,25,address
admire,admire,GSL,26,admire
admission,admission,GSL,27,admission
admit,admit,GSL,28,admit
adopt,adopt,GSL,29,adopt
adoption,adoption,GSL,30,adoption
advance,advance,GSL,31,advance
advantage,advantage,GSL,32,advantage
adventure,adventure,GSL,33,adventure
advertise,advertise,GSL,34,advertise
advice,advice,GSL,35,advice
advise,advise,GSL,36,advise
affair,affair,GSL,37,affair
afford,afford,GSL,38,afford
afraid,afraid,GSL,39,afraid
after,after,GSL,40,after
afternoon,afternoon,GSL,41,afternoon
again,again,GSL,42,again
against,against,GSL,43,against
age,age,GSL,44,age
agency,agency,GSL,45,agency
agent,agent,GSL,46,agent
ago,ago,GSL,47,ago
agree,agree,GSL,48,agree
agriculture,agriculture,GSL,49,agriculture
ahead,ahead,GSL,50,ahead
aim,aim,GSL,51,aim
air,air,GSL,52,air
airplane,airplane,GSL,53,airplane
alike,alike,GSL,54,alike
alive,alive,GSL,55,alive
all,all,GSL,56,all
allow,allow,GSL,57,allow
allowance,allowance,GSL,58,allowance
almost,almost,GSL,59,almost
alone,alone,GSL,60,alone
along,along,GSL,61,along
aloud,aloud,GSL,62,aloud
already,already,GSL,63,already
also,also,GSL,64,also
although,although,GSL,65,although
altogether,altogether,GSL,66,altogether
always,always,GSL,67,always
ambition,ambition,GSL,68,ambition
ambitious,ambitious,GSL,69,ambitious
among,among,GSL,70,among
amongst,amongst,GSL,71,amongst
amount,amount,GSL,72,amount
amuse,amuse,GSL,73,amuse
ancient,ancient,GSL,74,ancient
and,and,GSL,75,and
anger,anger,GSL,76,anger
angle,angle,GSL,77,angle
angry,angry,GSL,78,angry
animal,animal,GSL,79,animal
annoy,annoy,GSL,80,annoy
annoyance,annoyance,GSL,81,annoyance
another,another,GSL,82,another
answer,answer,GSL,83,answer
anxiety,anxiety,GSL,84,anxiety
anxious,anxious,GSL,85,anxious
any,any,GSL,86,any
anybody,anybody,GSL,87,anybody
anyhow,anyhow,GSL,88,anyhow
anyone,anyone,GSL,89,anyone
anything,anything,GSL,90,anything
anyway,anyway,GSL,91,anyway
anywhere,anywhere,GSL,92,anywhere
apart,apart,GSL,93,apart
apology,apology,GSL,94,apology
appear,appear,GSL,95,appear
appearance,appearance,GSL,96,appearance
applaud,applaud,GSL,97,applaud
applause,applause,GSL,98,applause
apple,apple,GSL,99,apple
application,application,GSL,100,application
apply,apply,GSL,101,apply
appoint,appoint,GSL,102,appoint
approve,approve,GSL,103,approve
arch,arch,GSL,104,arch
argue,argue,GSL,105,argue
arise,arise,GSL,106,arise
arm,arm,GSL,107,arm
army,army,GSL,108,army
around,around,GSL,109,around
arrange,arrange,GSL,110,arrange
arrest,arrest,GSL,111,arrest
arrive,arrive,GSL,112,arrive
arrow,arrow,GSL,113,arrow
art,art,GSL,114,art
article,article,GSL,115,article
artificial,artificial,GSL,116,artificial
as,as,GSL,117,as
ash,ash,GSL,118,ash
ashamed,ashamed,GSL,119,ashamed
aside,aside,GSL,120,aside
ask,ask,GSL,121,ask
asleep,asleep,GSL,122,asleep
association,association,GSL,123,association
astonish,astonish,GSL,124,astonish
at,at,GSL,125,at
attack,attack,GSL,126,attack
attempt,attempt,GSL,127,attempt
attend,attend,GSL,128,attend
attention,attention,GSL,129,attention
attentive,attentive,GSL,130,attentive
attract,attract,GSL,131,attract
attraction,attraction,GSL,132,attraction
attractive,attractive,GSL,133,attractive
audience,audience,GSL,134,audience
aunt,aunt,GSL,135,aunt
autumn,autumn,GSL,136,autumn
avenue,avenue,GSL,137,avenue
average,average,GSL,138,average
avoid,avoid,GSL,139,avoid
avoidance,avoidance,GSL,140,avoidance
awake,awake,GSL,141,awake
away,away,GSL,142,away
awkward,awkward,GSL,143,awkward
axe,axe,GSL,144,axe
baby,baby,GSL,145,baby
back,back,GSL,146,back
backward,backward,GSL,147,backward
bad,bad,GSL,148,bad
bag,bag,GSL,149,bag
baggage,baggage,GSL,150,baggage
bake,bake,GSL,151,bake
balance,balance,GSL,152,balance
ball,ball,GSL,153,ball
band,band,GSL,154,band
bank,bank,GSL,155,bank
bar,bar,GSL,156,bar
barber,barber,GSL,157,barber
bare,bare,GSL,158,bare
bargain,bargain,GSL,159,bargain
barrel,barrel,GSL,160,barrel
base,base,GSL,161,base
basic,basic,GSL,162,basic
basin,basin,GSL,163,basin
basis,basis,GSL,164,basis
basket,basket,GSL,165,basket
bath,bath,GSL,166,bath
bathe,bathe,GSL,167,bathe
battle,battle,GSL,168,battle
bay,bay,GSL,169,bay
be,be,GSL,170,be
beak,beak,GSL,171,beak
beam,beam,GSL,172,beam
bean,bean,GSL,173,bean
bear,bear,GSL,174,bear
beard,beard,GSL,175,beard
beast,beast,GSL,176,beast
beat,beat,GSL,177,beat
beauty,beauty,GSL,178,beauty
because,because,GSL,179,because
become,become,GSL,180,become
bed,bed,GSL,181,bed
bedroom,bedroom,GSL,182,bedroom
before,before,GSL,183,before
beg,beg,GSL,184,beg
begin,begin,GSL,185,begin
behave,behave,GSL,186,behave
behavior,behavior,GSL,187,behavior
behind,behind,GSL,188,behind
being,being,GSL,189,being
belief,belief,GSL,190,belief
believe,believe,GSL,191,believe
bell,bell,GSL,192,bell
belong,belong,GSL,193,belong
below,below,GSL,194,below
belt,belt,GSL,195,belt
bend,bend,GSL,196,bend
beneath,beneath,GSL,197,beneath
berry,berry,GSL,198,berry
beside,beside,GSL,199,beside
besides,besides,GSL,200,besides
best,best,GSL,201,best
better,better,GSL,202,better
between,between,GSL,203,between
beyond,beyond,GSL,204,beyond
bicycle,bicycle,GSL,205,bicycle
big,big,GSL,206,big
bill,bill,GSL,207,bill
bind,bind,GSL,208,bind
bird,bird,GSL,209,bird
birth,birth,GSL,210,birth
bit,bit,GSL,211,bit
bite,bite,GSL,212,bite
bitter,bitter,GSL,213,bitter
black,black,GSL,214,black
blade,blade,GSL,215,blade
blame,blame,GSL,216,blame
bleed,bleed,GSL,217,bleed
bless,bless,GSL,218,bless
blind,blind,GSL,219,blind
block,block,GSL,220,block
blood,blood,GSL,221,blood
blow,blow,GSL,222,blow
blue,blue,GSL,223,blue
board,board,GSL,224,board
boast,boast,GSL,225,boast
boat,boat,GSL,226,boat
body,body,GSL,227,body
boil,boil,GSL,228,boil
bold,bold,GSL,229,bold
bone,bone,GSL,230,bone
book,book,GSL,231,book
border,border,GSL,232,border
borrow,borrow,GSL,233,borrow
both,both,GSL,234,both
bottle,bottle,GSL,235,bottle
bottom,bottom,GSL,236,bottom
bound,bound,GSL,237,bound
boundary,boundary,GSL,238,boundary
bow,bow,GSL,239,bow
bowl,bowl,GSL,240,bowl
box,box,GSL,241,box
boy,boy,GSL,242,boy
brain,brain,GSL,243,brain
branch,branch,GSL,244,branch
brass,brass,GSL,245,brass
brave,brave,GSL,246,brave
bravery,bravery,GSL,247,bravery
bread,bread,GSL,248,bread
breadth,breadth,GSL,249,breadth
break,break,GSL,250,break
breakfast,breakfast,GSL,251,breakfast
breath,breath,GSL,252,breath
breathe,breathe,GSL,253,breathe
bribe,bribe,GSL,254,bribe
bribery,bribery,GSL,255,bribery
brick,brick,GSL,256,brick
bridge,bridge,GSL,257,bridge
bright,bright,GSL,258,bright
brighten,brighten,GSL,259,brighten
bring,bring,GSL,260,bring
broad,broad,GSL,261,broad
broadcast,broadcast,GSL,262,broadcast
brother,brother,GSL,263,brother
brown,brown,GSL,264,brown
brush,brush,GSL,265,brush
bucket,bucket,GSL,266,bucket
build,build,GSL,267,build
bunch,bunch,GSL,268,bunch
bundle,bundle,GSL,269,bundle
burn,burn,GSL,270,burn
burst,burst,GSL,271,burst
bury,bury,GSL,272,bury
bus,bus,GSL,273,bus
bush,bush,GSL,274,bush
business,business,GSL,275,business
businesslike,businesslike,GSL,276,businesslike
businessman,businessman,GSL,277,businessman
busy,busy,GSL,278,busy
but,but,GSL,279,but
butter,butter,GSL,280,butter
button,button,GSL,281,button
buy,buy,GSL,282,buy
by,by,GSL,283,by
cage,cage,GSL,284,cage
cake,cake,GSL,285,cake
calculate,calculate,GSL,286,calculate
calculation,calculation,GSL,287,calculation
calculator,calculator,GSL,288,calculator
call,call,GSL,289,call
calm,calm,GSL,290,calm
camera,camera,GSL,291,camera
camp,camp,GSL,292,camp
can,can,GSL,293,can
canal,canal,GSL,294,canal
cap,cap,GSL,295,cap
cape,cape,GSL,296,cape
capital,capital,GSL,297,capital
captain,captain,GSL,298,captain
car,car,GSL,299,car
card,card,GSL,300,card
care,care,GSL,301,care
carriage,carriage,GSL,302,carriage
carry,carry,GSL,303,carry
cart,cart,GSL,304,cart
case,case,GSL,305,case
castle,castle,GSL,306,castle
cat,cat,GSL,307,cat
catch,catch,GSL,308,catch
cattle,cattle,GSL,309,cattle
cause,cause,GSL,310,cause
caution,caution,GSL,311,caution
cautious,cautious,GSL,312,cautious
cave,cave,GSL,313,cave
cent,cent,GSL,314,cent
center,center,GSL,315,center
century,century,GSL,316,century
ceremony,ceremony,GSL,317,ceremony
certain,certain,GSL,318,certain
certainty,certainty,GSL,319,certainty
chain,chain,GSL,320,chain
chair,chair,GSL,321,chair
chairman,chairman,GSL,322,chairman
chalk,chalk,GSL,323,chalk
chance,chance,GSL,324,chance
change,change,GSL,325,change
character,character,GSL,326,character
charge,charge,GSL,327,charge
charm,charm,GSL,328,charm
cheap,cheap,GSL,329,cheap
cheat,cheat,GSL,330,cheat
check,check,GSL,331,check
cheer,cheer,GSL,332,cheer
cheese,cheese,GSL,333,cheese
chest,chest,GSL,334,chest
chicken,chicken,GSL,335,chicken
chief,chief,GSL,336,chief
child,child,GSL,337,child
childhood,childhood,GSL,338,childhood
chimney,chimney,GSL,339,chimney
choice,choice,GSL,340,choice
choose,choose,GSL,341,choose
christmas,christmas,GSL,342,christmas
church,church,GSL,343,church
circle,circle,GSL,344,circle
circular,circular,GSL,345,circular
citizen,citizen,GSL,346,citizen
city,city,GSL,347,city
civilize,civilize,GSL,348,civilize
claim,claim,GSL,349,claim
class,class,GSL,350,class
classification,classification,GSL,351,classification
classify,classify,GSL,352,classify
clay,clay,GSL,353,clay
clean,clean,GSL,354,clean
clear,clear,GSL,355,clear
clerk,clerk,GSL,356,clerk
clever,clever,GSL,357,clever
cliff,cliff,GSL,358,cliff
climb,climb,GSL,359,climb
clock,clock,GSL,360,clock
close,close,GSL,361,close
cloth,cloth,GSL,362,cloth
clothe,clothe,GSL,363,clothe
cloud,cloud,GSL,364,cloud
club,club,GSL,365,club
coal,coal,GSL,366,coal
coarse,coarse,GSL,367,coarse
coast,coast,GSL,368,coast
coat,coat,GSL,369,coat
coffee,coffee,GSL,370,coffee
coin,coin,GSL,371,coin
cold,cold,GSL,372,cold
collar,collar,GSL,373,collar
collect,collect,GSL,374,collect
collection,collection,GSL,375,collection
collector,collector,GSL,376,collector
college,college,GSL,377,college
colony,colony,GSL,378,colony
color,color,GSL,379,color
comb,comb,GSL,380,comb
combine,combine,GSL,381,combine
come,come,GSL,382,come
comfort,comfort,GSL,383,comfort
command,command,GSL,384,command
commerce,commerce,GSL,385,commerce
commercial,commercial,GSL,386,commercial
committee,committee,GSL,387,committee
common,common,GSL,388,common
companion,companion,GSL,389,companion
companionship,companionship,GSL,390,companionship
company,company,GSL,391,company
compare,compare,GSL,392,compare
comparison,comparison,GSL,393,comparison
compete,compete,GSL,394,compete
competition,competition,GSL,395,competition
competitor,competitor,GSL,396,competitor
complain,complain,GSL,397,complain
complaint,complaint,GSL,398,complaint
complete,complete,GSL,399,complete
completion,completion,GSL,400,completion
complicate,complicate,GSL,401,complicate
complication,complication,GSL,402,complication
compose,compose,GSL,403,compose
composition,composition,GSL,404,composition
concern,concern,GSL,405,concern
condition,condition,GSL,406,condition
confess,confess,GSL,407,confess
confession,confession,GSL,408,confession
confidence,confidence,GSL,409,confidence
confident,confident,GSL,410,confident
confidential,confidential,GSL,411,confidential
confuse,confuse,GSL,412,confuse
confusion,confusion,GSL,413,confusion
congratulate,congratulate,GSL,414,congratulate
congratulation,congratulation,GSL,415,congratulation
connect,connect,GSL,416,connect
connection,connection,GSL,417,connection
conquer,conquer,GSL,418,conquer
conqueror,conqueror,GSL,419,conqueror
conquest,conquest,GSL,420,conquest
conscience,conscience,GSL,421,conscience
conscious,conscious,GSL,422,conscious
consider,consider,GSL,423,consider
contain,contain,GSL,424,contain
content,content,GSL,425,content
continue,continue,GSL,426,continue
control,control,GSL,427,control
convenience,convenience,GSL,428,convenience
convenient,convenient,GSL,429,convenient
conversation,conversation,GSL,430,conversation
cook,cook,GSL,431,cook
cool,cool,GSL,432,cool
copper,copper,GSL,433,copper
copy,copy,GSL,434,copy
cork,cork,GSL,435,cork
corn,corn,GSL,436,corn
corner,corner,GSL,437,corner
correct,correct,GSL,438,correct
correction,correction,GSL,439,correction
cost,cost,GSL,440,cost
cottage,cottage,GSL,441,cottage
cotton,cotton,GSL,442,cotton
cough,cough,GSL,443,cough
could,could,GSL,444,could
council,council,GSL,445,council
count,count,GSL,446,count
country,country,GSL,447,country
courage,courage,GSL,448,courage
course,course,GSL,449,course
court,court,GSL,450,court
cousin,cousin,GSL,451,cousin
cover,cover,GSL,452,cover
